"partyid","ideo","age","gender","educ","income","religion","state","jobapprv","crmapprv","abtrace","treat","raceresent","oldfash"
3,2,47,1,5,NA,5,6,0,0,1,1,-1.04218237333694,0.10793895862729
3,4,26,2,5,13,6,36,1,1,NA,0,0.779985209973113,0.10793895862729
1,2,35,2,5,6,1,25,0,0,1,1,1.86366973530473,0.681222023133087
1,3,38,1,4,17,5,34,0,0,NA,0,0.0500370224379325,-1.03862717038431
4,1,53,2,5,8,5,5,0,0,1,1,-1.76532548415933,-1.03862717038431
2,5,37,1,5,21,1,43,0,0,1,1,0.413707536334609,-1.03862717038431
1,3,56,2,4,19,1,36,0,0,1,1,-1.04251286141041,-1.03862717038431
1,2,31,2,4,19,5,44,0,0,1,1,0.4180444898069,0.10793895862729
3,5,44,1,4,14,3,31,1,1,0,1,2.23200769074717,0.10793895862729
3,6,29,2,6,7,5,9,0,1,NA,0,1.5031283207955,0.10793895862729
3,1,28,2,4,8,5,19,0,0,1,1,-1.40305427591964,1.82468437070016
3,7,65,1,6,12,5,47,0,0,0,1,2.23233817882064,-1.03862717038431
3,4,43,2,5,19,2,5,1,1,NA,0,1.13945780689882,1.82468437070016
3,4,37,2,3,10,5,41,0,0,NA,0,1.86366973530473,0.966311664663725
3,4,40,2,4,17,5,43,1,1,0,1,1.86366973530473,-1.03862717038431
2,4,66,2,5,20,2,38,0,0,0,1,0.765053104253629,2.11287779367532
3,5,53,2,4,17,1,3,1,1,NA,0,1.86366973530473,1.82468437070016
3,6,33,1,5,12,1,25,1,1,0,1,3.3167610336623,4.68799591178462
3,3,33,1,5,19,5,26,0,1,NA,0,1.50139852706504,-1.03862717038431
1,1,55,1,4,5,5,37,0,0,NA,0,-2.49560415976798,-1.03862717038431
3,1,35,1,3,13,5,33,0,0,1,1,-2.49560415976798,-1.03862717038431
1,1,26,1,4,17,5,39,0,0,NA,0,1.14118760062929,2.39796743520596
1,2,22,2,5,19,5,34,0,0,0,1,-1.76672478981631,-1.03862717038431
3,4,36,2,4,3,1,3,1,1,NA,0,1.50139852706504,0.10793895862729
2,6,61,1,4,12,1,15,1,1,0,1,1.86899815299744,0.681222023133087
2,4,37,2,5,17,2,5,1,1,NA,0,0.410247948873683,1.53959472916952
3,3,35,1,6,19,5,6,0,0,1,1,0.0500370224379325,0.10793895862729
2,5,28,1,4,18,5,23,1,1,NA,0,2.23027789701671,0.10793895862729
3,5,26,1,3,15,5,43,1,1,0,1,0.412308230677621,2.11287779367532
1,2,36,1,6,25,4,5,0,0,1,1,-0.674174905967969,-0.465344105878508
2,7,48,1,6,11,5,10,1,1,0,1,2.23167720267369,0.10793895862729
3,3,48,1,4,16,2,33,0,0,0,1,-0.674174905967969,-0.465344105878508
3,4,25,2,4,18,5,36,0,1,0,1,2.59221861718292,0.10793895862729
2,5,32,1,5,17,1,15,0,1,0,1,0.412308230677621,-0.465344105878508
2,4,29,2,4,11,1,43,1,1,NA,0,3.3167610336623,-0.465344105878508
4,1,36,2,6,20,5,23,0,0,1,1,-2.49560415976798,-1.03862717038431
1,2,47,2,5,23,3,10,0,0,1,1,-2.49560415976798,0.10793895862729
2,5,41,1,6,22,5,31,1,1,0,1,2.95621961915307,0.10793895862729
2,3,35,1,5,18,1,44,1,1,NA,0,0.410908925020632,-1.03862717038431
1,4,28,2,3,15,5,14,0,0,1,1,0.414915390419448,-0.465344105878508
3,1,29,1,5,14,5,7,0,0,1,1,-2.13333295152829,-1.03862717038431
3,2,31,2,5,13,5,33,0,0,NA,0,-1.76499499608585,0.10793895862729
2,5,36,2,5,18,1,34,0,1,NA,0,1.14291739435975,0.10793895862729
2,7,26,2,5,14,1,32,1,1,0,1,1.5031283207955,1.53959472916952
2,6,28,2,4,14,5,25,1,1,0,1,1.51092486172872,0.10793895862729
2,6,35,1,4,12,1,10,1,1,0,1,0.410578436947158,1.82468437070016
2,6,30,2,4,19,1,34,0,1,0,1,2.58788166371063,2.11287779367532
1,1,51,1,6,25,5,22,0,0,1,1,-2.49560415976798,-1.03862717038431
1,1,35,2,4,20,5,44,0,0,1,1,-2.49560415976798,-1.03862717038431
3,4,26,2,5,22,5,10,0,0,NA,0,0.0503675105114074,2.39486365376143
3,4,50,2,5,23,3,33,1,1,0,1,1.86193994157426,1.25450508763888
1,2,53,2,5,17,1,31,0,0,1,1,-1.04251286141041,-1.03862717038431
3,2,46,1,5,18,1,10,0,0,1,1,0.0578335633711498,2.39796743520596
3,4,19,1,4,16,5,5,0,0,1,1,-1.76499499608585,0.10793895862729
2,5,18,1,4,25,1,17,1,1,0,1,1.50452762645249,0.10793895862729
2,5,44,2,3,18,6,5,1,1,0,1,1.51059437365524,-1.03862717038431
3,5,19,1,3,16,5,14,0,1,NA,0,2.23200769074717,0.10793895862729
2,7,27,1,4,16,2,10,1,1,1,1,2.23093887316366,4.68799591178462
3,3,35,2,4,12,5,37,0,0,NA,0,-0.312234185801756,-1.03862717038431
1,3,40,2,4,2,5,23,0,0,1,1,-1.04251286141041,0.10793895862729
1,2,40,1,5,17,5,26,0,0,1,1,2.58788166371063,3.25634014124239
2,5,49,2,5,17,2,4,1,1,NA,0,2.95448982542261,-0.465344105878508
3,3,23,1,4,13,5,27,0,0,1,1,-1.77279153701907,-1.03862717038431
3,4,41,1,5,13,5,47,0,0,1,1,-1.76672478981631,0.10793895862729
1,1,22,1,4,6,5,33,0,0,1,1,-2.49560415976798,-1.03862717038431
1,2,34,2,5,17,1,36,1,1,1,1,2.23233817882064,0.10793895862729
1,1,33,1,5,12,5,16,0,0,1,1,-2.13333295152829,-0.465344105878508
3,4,23,2,4,5,5,36,0,0,1,1,-1.7710617432886,-1.03862717038431
1,2,50,1,6,25,1,5,0,0,1,1,-2.13333295152829,0.10793895862729
1,1,25,2,4,9,5,36,0,0,0,1,-1.04251286141041,-1.03862717038431
4,4,66,2,3,16,6,10,0,0,NA,0,-0.305836950525527,1.53959472916952
2,4,22,1,5,25,5,47,0,0,0,1,0.411977742604146,0.966311664663725
3,3,34,1,5,18,6,23,0,0,1,1,-2.13333295152829,0.10793895862729
1,1,27,2,6,17,5,36,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,1,55,2,6,17,2,10,1,1,1,1,0.780315698046588,1.53959472916952
1,2,38,1,6,18,5,47,0,0,1,1,-1.04251286141041,-1.03862717038431
2,5,44,1,5,17,5,19,1,1,0,1,3.3167610336623,0.10793895862729
1,3,40,2,6,17,2,50,0,0,NA,0,-1.39665704064341,-0.465344105878508
3,4,33,1,4,12,1,26,0,1,1,1,0.048637716780944,-0.465344105878508
1,1,56,2,5,24,5,33,0,0,1,1,-1.40445358157663,-1.03862717038431
4,4,31,2,3,14,6,44,0,0,0,1,0.771119851456382,-1.03862717038431
3,2,42,1,5,18,6,33,0,0,1,1,-1.77279153701907,0.10793895862729
2,5,27,1,4,17,1,39,1,1,NA,0,1.86366973530473,0.393028600157927
4,5,35,1,5,13,5,33,1,1,0,1,0.777186598659136,-0.465344105878508
3,3,30,2,6,16,6,14,0,0,1,1,-1.40305427591964,-1.03862717038431
1,2,36,2,3,17,5,39,0,0,1,1,-2.49560415976798,-1.03862717038431
3,1,33,1,3,7,5,6,0,0,1,1,-1.39838683437387,0.10793895862729
1,3,32,2,6,25,5,5,0,0,NA,0,-0.311903697728281,-1.03862717038431
1,3,32,1,6,18,3,31,0,0,1,1,-1.04251286141041,-1.03862717038431
3,4,25,1,3,12,1,10,1,1,NA,0,0.410578436947158,1.82468437070016
2,6,63,1,4,24,2,31,1,1,0,1,1.50032970948152,0.10793895862729
1,2,33,2,4,17,1,23,0,0,1,1,-2.49560415976798,-1.03862717038431
3,4,41,1,3,11,5,15,0,0,0,1,1.13945780689882,0.10793895862729
2,7,30,1,5,16,5,11,1,1,0,1,-0.310504392071293,0.10793895862729
1,2,27,1,3,13,1,36,0,0,1,1,-2.13333295152829,0.10793895862729
4,4,27,1,4,15,1,30,0,1,0,1,3.3167610336623,-1.03862717038431
3,4,33,2,5,19,1,6,0,0,1,1,2.23200769074717,-1.03862717038431
1,3,28,1,6,20,1,34,0,0,0,1,-0.317970444931035,1.53959472916952
2,4,51,1,5,15,1,34,0,0,NA,0,2.59394841091338,3.82962320574819
2,4,38,1,5,19,1,24,0,0,1,1,-2.49560415976798,-1.03862717038431
2,6,38,1,4,14,1,13,1,1,0,1,1.49500129178881,0.10793895862729
2,6,37,2,4,13,1,44,1,1,NA,0,-1.7589282488831,-1.03862717038431
3,1,37,1,5,22,6,11,0,0,1,1,-1.04251286141041,0.10793895862729
1,1,64,2,4,12,1,24,0,0,NA,0,-1.41052032877938,-1.03862717038431
2,7,36,1,4,12,1,23,0,1,0,1,3.3167610336623,-1.03862717038431
2,6,64,1,3,17,1,39,1,1,0,1,2.95482031349608,0.10793895862729
1,2,43,2,6,22,2,14,0,0,NA,0,-2.12726620432554,-1.03862717038431
2,5,27,2,5,10,1,44,0,0,NA,0,-1.04251286141041,-1.03862717038431
3,3,31,1,5,20,1,36,0,0,NA,0,-0.310504392071293,0.10793895862729
1,2,33,1,5,16,5,5,0,0,1,1,-1.03644611420766,0.10793895862729
2,6,34,2,5,18,1,23,0,0,1,1,0.0422404815047152,0.10793895862729
3,4,40,1,5,20,2,36,0,1,0,1,3.3167610336623,0.10793895862729
1,4,24,1,5,5,5,14,1,1,NA,0,-2.49560415976798,-1.03862717038431
3,6,40,1,6,18,2,26,0,1,NA,0,1.50919506799826,0.681222023133087
1,3,32,2,6,14,5,26,0,0,NA,0,-2.12726620432554,-1.03862717038431
1,1,51,2,5,14,6,26,0,0,NA,0,-1.04218237333694,-1.03862717038431
3,4,27,1,4,10,1,10,0,0,1,1,2.22594094354442,-1.03862717038431
1,2,52,2,4,14,5,48,0,0,1,1,-1.40305427591964,-1.03862717038431
1,2,36,1,5,19,5,33,0,0,0,1,-1.04251286141041,0.10793895862729
3,5,52,1,3,18,5,10,1,1,0,1,1.86366973530473,0.10793895862729
2,6,41,2,6,25,1,47,1,1,NA,0,-0.305836950525527,0.681222023133087
3,1,36,2,5,12,5,23,0,0,1,1,-2.13333295152829,-1.03862717038431
3,3,23,2,4,14,1,1,0,1,NA,0,-1.04251286141041,0.10793895862729
2,5,30,1,5,13,2,36,0,0,NA,0,1.85587319437151,0.10793895862729
1,3,30,2,5,19,5,15,0,0,1,1,2.59394841091338,0.10793895862729
3,3,35,1,4,9,5,36,1,1,NA,0,1.14011878304577,0.10793895862729
3,7,29,1,6,17,2,23,0,0,0,1,0.419774283537363,-1.03862717038431
2,5,40,1,5,16,1,10,1,1,NA,0,-0.317970444931035,1.82468437070016
1,1,29,2,5,20,2,40,0,0,1,1,-2.49560415976798,-1.03862717038431
1,1,39,2,5,13,5,34,0,0,1,1,-1.7710617432886,-1.03862717038431
1,2,52,1,5,25,5,47,0,0,1,1,-1.04218237333694,-1.03862717038431
1,2,55,2,6,NA,3,47,0,0,NA,0,-2.49560415976798,-1.03862717038431
3,4,32,2,6,18,5,5,0,0,NA,0,-2.12726620432554,0.10793895862729
3,4,36,1,5,20,1,34,0,1,1,1,0.0500370224379325,-1.03862717038431
2,7,39,1,5,12,1,24,0,1,NA,0,2.59427889898686,2.97125049971175
3,3,29,1,4,19,5,10,0,1,0,1,0.0497065343644576,-0.465344105878508
3,2,39,1,4,6,5,39,0,0,NA,0,-1.40338476399311,1.53959472916952
1,2,38,1,5,23,5,11,0,0,1,1,-0.312234185801756,-1.03862717038431
1,4,48,2,4,13,1,10,0,0,1,1,-0.674174905967969,0.10793895862729
1,2,34,2,3,16,5,41,0,0,1,1,1.14085711255581,-1.03862717038431
1,2,39,2,5,19,5,33,0,0,1,1,-2.12726620432554,-1.03862717038431
1,2,32,1,5,12,1,33,0,0,1,1,-2.13333295152829,-1.03862717038431
1,1,35,1,5,10,5,14,0,0,NA,0,-1.77279153701907,-1.03862717038431
3,4,23,1,5,16,5,10,0,0,NA,0,-1.76672478981631,-0.465344105878508
3,2,26,1,4,11,5,6,0,0,1,1,-2.12726620432554,-0.465344105878508
1,2,61,2,6,3,6,39,0,0,1,1,-2.49560415976798,0.10793895862729
1,2,37,2,6,9,5,44,0,0,NA,0,-2.13333295152829,-1.03862717038431
1,1,30,2,5,7,5,36,0,0,0,1,-2.49560415976798,0.10793895862729
2,6,28,2,5,18,1,36,1,1,0,1,-0.674174905967969,-1.03862717038431
1,2,27,1,4,8,5,5,0,0,NA,0,0.412638718751096,3.25634014124239
3,2,29,2,5,22,2,14,0,0,NA,0,-1.40445358157663,-1.03862717038431
1,4,59,2,5,15,1,10,1,1,0,1,2.59254910525639,1.53959472916952
2,6,73,1,6,17,5,29,1,1,NA,0,1.14258690628628,1.53959472916952
3,6,41,1,6,18,1,11,1,1,NA,0,2.59221861718292,2.39796743520596
1,2,28,2,5,16,5,10,0,0,NA,0,-2.12726620432554,-1.03862717038431
2,7,44,2,4,18,2,48,1,1,0,1,3.3167610336623,-1.03862717038431
2,6,37,2,5,17,5,14,1,1,0,1,-0.317970444931035,-1.03862717038431
1,3,41,1,4,16,2,10,0,0,1,1,0.0500370224379325,-1.03862717038431
3,5,24,2,5,18,5,31,0,1,NA,0,0.412308230677621,0.10793895862729
3,4,50,1,5,19,5,29,0,0,1,1,0.0500370224379325,0.10793895862729
3,5,33,1,5,17,2,50,0,0,0,1,1.14258690628628,0.10793895862729
1,3,23,1,4,21,5,15,0,0,1,1,-1.04218237333694,-1.03862717038431
1,1,32,1,6,15,5,10,0,0,1,1,-2.49560415976798,-1.03862717038431
2,7,48,2,3,15,1,4,1,1,0,1,1.86227042964774,-0.465344105878508
2,6,33,1,5,25,5,14,0,1,0,1,-0.673844417894495,0.10793895862729
1,1,37,2,5,18,5,39,0,0,1,1,1.14258690628628,-1.03862717038431
3,4,32,1,5,17,1,23,0,0,1,1,-1.04251286141041,0.681222023133087
2,5,50,1,5,9,1,50,1,1,NA,0,1.13339105969607,1.82468437070016
2,6,25,2,5,19,5,22,1,1,0,1,2.22594094354442,0.10793895862729
2,5,37,2,4,19,1,5,1,1,0,1,-1.7710617432886,-1.03862717038431
1,2,32,2,6,17,1,41,0,0,1,1,-1.04251286141041,0.10793895862729
2,5,25,1,6,20,1,41,0,1,0,1,1.50139852706504,0.681222023133087
3,7,43,1,5,17,2,10,1,1,0,1,3.3167610336623,0.10793895862729
3,5,32,2,5,10,5,23,1,1,0,1,3.3167610336623,3.82962320574819
3,3,36,2,5,16,6,17,0,0,0,1,-2.49560415976798,0.10793895862729
2,6,53,2,3,11,1,18,1,1,0,1,3.3167610336623,4.68799591178462
1,1,51,2,3,14,1,5,0,0,NA,0,-2.49560415976798,-1.03862717038431
2,7,27,2,5,19,1,4,1,1,0,1,2.23200769074717,0.10793895862729
1,4,29,1,4,19,5,31,0,0,NA,0,2.59427889898686,0.10793895862729
3,2,38,2,6,18,1,39,0,0,NA,0,-1.76499499608585,-1.03862717038431
2,7,58,2,3,12,1,44,1,1,0,1,2.59254910525639,0.10793895862729
1,1,36,2,5,17,5,12,0,0,1,1,-1.04784127910313,-1.03862717038431
2,5,36,2,4,19,5,21,1,1,NA,0,0.41870546595385,-0.465344105878508
3,4,30,2,4,15,5,18,0,0,1,1,-1.03644611420766,0.10793895862729
1,2,61,2,5,19,5,5,0,0,1,1,-1.04251286141041,-1.03862717038431
1,1,33,2,4,16,5,40,0,0,NA,0,0.786382445249342,0.10793895862729
3,5,35,1,5,14,5,39,1,1,0,1,2.58648235805364,1.53959472916952
1,2,36,2,6,23,5,39,0,0,NA,0,-1.04251286141041,0.10793895862729
3,5,32,1,4,14,5,44,1,1,0,1,2.59394841091338,-1.03862717038431
1,4,54,2,5,19,3,10,0,0,1,1,1.13912731882535,0.10793895862729
1,1,36,2,5,21,2,10,0,0,1,1,0.0483072287074691,-1.03862717038431
2,5,28,2,4,17,1,25,1,1,0,1,0.0561037696406864,0.10793895862729
1,3,26,2,5,17,5,41,0,0,1,1,-0.312234185801756,0.10793895862729
3,2,30,2,4,25,5,29,0,0,1,1,2.95621961915307,0.10793895862729
1,2,23,1,5,24,5,31,0,0,0,1,-0.680572141244198,-1.03862717038431
1,2,30,1,4,16,5,31,0,0,1,1,-2.12726620432554,0.10793895862729
1,3,34,2,5,18,5,5,0,0,0,1,2.59221861718292,0.10793895862729
1,2,29,1,5,18,2,33,0,0,1,1,-1.77312202509254,-0.465344105878508
1,4,25,1,5,17,5,33,0,0,1,1,-2.13506274525876,0.10793895862729
3,4,31,1,5,10,5,47,0,0,0,1,-0.680572141244198,0.966311664663725
