"partyid","ideo","age","gender","educ","income","religion","state","jobapprv","crmapprv","abtrace","treat","raceresent","oldfash"
1,1,35,1,5,17,5,43,0,0,NA,0,-2.49560415976798,-1.03862717038431
3,2,36,2,5,14,5,27,0,0,NA,0,-1.77279153701907,-1.03862717038431
3,4,26,1,6,21,5,29,0,0,NA,0,0.0564342577141613,-0.465344105878508
3,4,35,1,3,14,5,26,0,0,1,1,-2.12726620432554,0.10793895862729
3,1,32,1,5,19,5,24,0,0,0,1,-2.49560415976798,0.10793895862729
1,3,57,2,4,13,1,10,0,0,1,1,0.0561037696406864,-0.465344105878508
3,1,25,2,5,16,5,16,0,0,1,1,-2.49560415976798,-1.03862717038431
1,2,23,2,5,8,2,39,0,0,1,1,-2.49560415976798,0.10793895862729
1,1,39,2,6,17,5,15,0,0,1,1,-1.76532548415933,-1.03862717038431
1,2,22,1,5,21,5,18,0,0,NA,0,-1.04251286141041,0.10793895862729
1,3,21,2,4,15,3,10,0,0,NA,0,0.774248950843834,0.10793895862729
1,2,25,1,5,13,1,26,0,0,NA,0,-1.40305427591964,-0.465344105878508
3,2,37,1,4,12,5,5,0,0,0,1,-1.04218237333694,0.10793895862729
1,1,39,2,5,14,1,44,0,0,1,1,-2.49560415976798,-1.03862717038431
3,4,59,2,3,19,1,15,0,0,1,1,-2.49560415976798,0.10793895862729
1,2,27,2,5,16,5,31,0,0,NA,0,-2.12726620432554,-1.03862717038431
1,3,39,2,4,17,5,44,0,1,NA,0,-0.305836950525527,-1.03862717038431
3,4,37,2,5,21,1,29,0,0,NA,0,-1.04251286141041,-1.03862717038431
1,1,31,2,5,18,6,5,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,3,35,1,6,20,5,22,0,1,0,1,1.86366973530473,0.681222023133087
1,1,26,1,6,21,5,33,0,0,1,1,1.50139852706504,0.10793895862729
1,4,24,1,5,22,5,39,0,0,NA,0,-1.40305427591964,-1.03862717038431
1,2,48,2,4,14,5,6,0,0,0,1,3.3167610336623,0.681222023133087
3,5,24,1,4,14,5,44,1,1,0,1,3.3167610336623,-1.03862717038431
1,1,30,1,4,12,5,5,0,0,1,1,-2.12726620432554,0.10793895862729
1,4,29,2,5,16,5,43,0,0,1,1,3.3167610336623,-1.03862717038431
1,1,25,2,5,17,5,49,0,0,1,1,-2.49560415976798,0.10793895862729
3,4,67,1,6,15,5,44,0,0,1,1,-0.685977912300002,0.10793895862729
3,4,34,1,4,6,2,10,0,0,NA,0,1.86833717685049,1.82468437070016
1,2,40,1,5,19,1,5,0,0,1,1,-2.49560415976798,-0.465344105878508
1,2,36,2,4,18,1,42,0,0,1,1,-1.40305427591964,0.10793895862729
3,4,32,2,4,24,5,11,0,0,NA,0,1.14085711255581,-1.03862717038431
4,6,27,2,4,14,2,43,0,0,1,1,-1.76672478981631,-1.03862717038431
1,6,34,1,5,19,3,33,0,1,1,1,1.86366973530473,0.393028600157927
3,4,34,1,5,9,5,34,0,0,NA,0,1.86366973530473,0.10793895862729
3,5,23,2,4,10,1,32,1,1,0,1,-1.41085081685285,0.10793895862729
1,2,35,1,5,6,5,18,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,1,33,1,5,10,1,5,0,0,1,1,-2.49560415976798,-1.03862717038431
1,1,41,2,5,19,5,32,0,0,1,1,-2.49560415976798,-1.03862717038431
1,1,31,2,5,17,5,34,0,0,1,1,-2.49560415976798,-1.03862717038431
2,6,56,1,4,14,1,44,1,1,0,1,3.3167610336623,-0.465344105878508
2,5,32,2,4,16,2,13,1,1,0,1,-1.04251286141041,0.10793895862729
4,6,45,1,5,18,6,45,0,0,0,1,2.95621961915307,1.53959472916952
3,1,28,1,4,16,6,10,0,0,NA,0,0.0419099934312404,0.10793895862729
2,5,37,2,4,18,2,36,0,1,NA,0,-1.04251286141041,0.393028600157927
2,7,41,2,5,17,1,13,1,1,NA,0,1.86973648250748,0.10793895862729
1,5,41,2,5,13,1,39,0,0,1,1,2.59394841091338,2.11287779367532
3,7,47,1,5,17,5,23,1,1,0,1,3.3167610336623,4.68799591178462
2,6,58,1,3,15,1,10,1,1,0,1,2.22594094354442,4.68799591178462
2,5,27,1,5,12,5,7,1,1,NA,0,1.14118760062929,-0.465344105878508
2,5,20,1,4,25,1,43,1,1,0,1,0.408848643216694,-0.465344105878508
1,2,42,1,4,18,5,31,0,0,NA,0,-1.40445358157663,0.10793895862729
1,2,46,1,4,3,5,6,0,0,1,1,-1.7710617432886,-1.03862717038431
1,2,37,1,6,15,5,26,0,0,0,1,-1.76532548415933,-1.03862717038431
1,4,32,2,5,19,6,21,0,0,NA,0,-2.49560415976798,-1.03862717038431
3,4,39,2,3,7,5,10,0,0,NA,0,1.13945780689882,-1.03862717038431
2,6,32,1,5,17,1,47,1,1,0,1,3.3167610336623,-1.03862717038431
1,1,30,2,5,22,5,33,0,0,1,1,-2.49560415976798,-1.03862717038431
1,2,31,1,5,18,5,7,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,2,25,1,5,13,5,10,0,0,NA,0,-1.40305427591964,-0.465344105878508
1,4,29,2,5,18,6,26,0,0,1,1,-0.321430032391962,-1.03862717038431
3,1,42,1,4,12,6,19,0,0,1,1,-1.76532548415933,-1.03862717038431
3,4,37,1,6,18,5,9,1,1,NA,0,-0.311903697728281,-1.03862717038431
1,1,46,1,5,2,5,18,0,0,NA,0,-2.49560415976798,-1.03862717038431
3,4,29,1,5,23,1,44,0,0,1,1,0.780315698046588,-1.03862717038431
1,1,36,1,6,18,5,39,0,0,NA,0,-2.13366343960177,0.10793895862729
1,2,53,2,3,14,2,31,0,0,0,1,1.50713478619432,-1.03862717038431
1,1,34,2,5,13,5,39,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,2,35,2,5,18,1,23,0,0,NA,0,-0.319700238661498,0.10793895862729
4,6,44,1,5,21,1,22,1,1,0,1,2.95482031349608,3.54142978277303
1,2,30,2,6,7,5,41,0,0,1,1,-1.04251286141041,-1.03862717038431
3,3,34,2,5,16,1,44,1,1,0,1,-0.674174905967969,-1.03862717038431
1,3,27,1,5,12,5,38,0,0,NA,0,0.786382445249342,1.82468437070016
1,2,22,2,5,11,5,38,0,0,1,1,-1.76532548415933,0.10793895862729
1,1,26,1,4,10,5,47,0,0,0,1,-2.12726620432554,-1.03862717038431
3,4,59,2,5,21,2,28,0,0,0,1,0.048637716780944,0.966311664663725
1,2,54,1,5,18,5,36,0,0,1,1,-1.03644611420766,0.681222023133087
1,2,35,2,5,18,2,33,0,0,1,1,-1.7589282488831,0.10793895862729
1,3,44,1,4,16,2,23,0,0,1,1,0.0561037696406864,0.966311664663725
3,4,42,2,4,12,5,11,0,0,NA,0,0.0547044639836979,0.966311664663725
1,3,28,1,4,16,6,20,0,0,1,1,1.87286558189493,0.10793895862729
1,2,27,2,4,18,5,17,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,2,25,2,4,14,6,5,0,0,1,1,-0.311903697728281,-1.03862717038431
1,3,38,1,5,17,2,44,0,0,1,1,0.0500370224379325,-1.03862717038431
1,4,32,1,3,13,5,10,0,0,NA,0,0.419774283537363,0.10793895862729
1,2,41,2,5,17,3,5,0,0,1,1,1.86366973530473,-1.03862717038431
1,2,32,1,6,19,1,37,0,0,1,1,-2.49560415976798,0.10793895862729
1,2,29,2,5,17,2,39,0,0,1,1,-0.680241653170723,-1.03862717038431
3,2,27,1,4,7,5,18,1,1,0,1,1.49566226793576,0.10793895862729
1,3,31,1,6,19,5,18,0,0,1,1,-0.680572141244198,-0.465344105878508
1,4,43,1,5,18,3,5,0,0,1,1,1.86366973530473,-1.03862717038431
1,1,27,2,5,13,5,5,0,0,1,1,-2.13333295152829,0.10793895862729
3,4,22,2,4,10,5,44,1,1,0,1,0.779246880463075,1.82468437070016
3,3,31,1,4,15,5,28,0,0,1,1,-1.40305427591964,-1.03862717038431
1,2,66,1,5,9,5,38,0,0,NA,0,0.0561037696406864,0.966311664663725
1,2,25,1,5,14,5,33,0,0,0,1,0.410247948873683,0.10793895862729
3,4,55,1,3,1,5,39,1,1,0,1,2.59287959332987,0.10793895862729
3,6,51,1,3,18,1,39,1,1,NA,0,3.3167610336623,4.68799591178462
1,1,33,2,5,18,5,39,0,0,1,1,-1.4047840696501,-1.03862717038431
1,2,41,1,4,3,5,14,0,0,1,1,-1.76532548415933,-1.03862717038431
1,1,35,1,5,18,5,34,0,0,NA,0,-1.04251286141041,0.966311664663725
2,7,53,1,6,18,2,40,1,1,0,1,0.777517086732611,1.53959472916952
1,1,38,2,3,16,2,15,0,0,1,1,1.13912731882535,0.966311664663725
3,5,56,1,5,14,1,44,1,1,0,1,2.22388066174048,0.966311664663725
3,1,51,2,3,13,5,10,0,0,1,1,-1.77279153701907,-1.03862717038431
2,7,42,2,6,17,1,14,1,1,1,1,0.777517086732611,0.10793895862729
3,3,23,1,5,25,2,7,0,0,0,1,-0.317970444931035,-1.03862717038431
1,3,33,1,5,22,5,47,0,0,NA,0,-0.305836950525527,-0.465344105878508
3,2,24,2,5,13,5,33,0,0,NA,0,-0.680241653170723,-0.465344105878508
2,4,28,2,4,6,2,36,1,1,0,1,0.4180444898069,2.39796743520596
3,4,34,1,4,12,5,39,0,0,1,1,-2.49560415976798,2.97125049971175
3,4,31,1,6,24,5,34,0,0,1,1,-1.04251286141041,0.10793895862729
2,6,35,1,5,17,1,34,1,1,NA,0,2.95621961915307,4.68799591178462
2,4,25,1,3,9,5,41,1,1,0,1,0.402451407940465,0.393028600157927
1,3,36,1,1,1,5,18,0,0,1,1,-1.04251286141041,-1.03862717038431
3,2,41,1,4,1,5,24,0,0,1,1,-2.49560415976798,-1.03862717038431
3,2,60,2,4,18,6,5,0,0,1,1,-1.39838683437387,0.10793895862729
4,6,39,1,3,9,1,13,0,0,NA,0,1.50139852706504,0.10793895862729
1,1,34,1,6,25,5,44,0,0,NA,0,-0.312234185801756,1.53959472916952
4,4,27,1,6,14,1,14,0,0,0,1,1.86833717685049,0.10793895862729
1,1,28,1,4,10,5,39,0,0,NA,0,-2.13333295152829,-1.03862717038431
1,2,36,2,5,20,5,6,0,0,1,1,-1.40445358157663,-1.03862717038431
1,3,29,1,6,17,3,39,0,0,1,1,-1.03611562613418,-0.465344105878508
2,6,37,2,4,24,2,24,1,1,NA,0,2.23513679013462,-0.465344105878508
2,6,35,2,5,21,6,33,1,1,NA,0,1.86193994157426,-1.03862717038431
2,7,40,2,5,18,1,36,0,0,1,1,-2.13333295152829,-1.03862717038431
2,7,33,2,5,3,6,45,1,1,NA,0,1.51059437365524,0.10793895862729
1,3,68,1,5,11,6,5,0,0,0,1,0.771450339529857,-0.465344105878508
3,2,34,1,5,13,5,10,0,0,NA,0,1.13912731882535,-1.03862717038431
1,1,30,2,5,5,5,6,0,0,1,1,-2.13333295152829,-1.03862717038431
3,3,26,1,3,18,1,34,1,0,0,1,1.50172901513851,0.10793895862729
1,4,29,1,6,15,5,14,0,0,NA,0,0.0500370224379325,-1.03862717038431
1,2,34,1,6,20,5,10,0,0,NA,0,0.4180444898069,-1.03862717038431
3,5,40,2,4,11,1,1,1,1,0,1,1.13945780689882,0.681222023133087
3,2,33,1,6,18,5,18,0,0,1,1,-1.40305427591964,-1.03862717038431
1,1,33,1,5,17,5,3,0,0,1,1,-2.13366343960177,0.10793895862729
1,1,28,2,3,10,5,3,0,0,1,1,-2.49560415976798,-1.03862717038431
3,2,31,1,5,20,5,22,0,0,1,1,-1.04251286141041,0.10793895862729
