"age","gender","educ","income","religion","state","partyid","slavery","try","favors","deserve","ideo","date","marry","vote","trumpft","clintonft","color2","abtrace","checkemo","treat","treat2","raceresent","oldfash","trumpvote","trumpvclinft"
44,2,5,25,1,10,1,1,4,5,1,2,1,5,1,0,91,"3,5",1,"20",3,1,-3.31019231235485,-1.35285779580556,0,-91
53,1,4,6,5,48,4,3,3,3,3,4,3,3,NA,NA,NA,"",NA,"",NA,NA,-0.573490807300476,1.07792405726012,NA,NA
66,2,4,11,2,43,7,5,3,1,4,6,1,5,2,81,6,"3,5",2,"20",1,0,1.39681566652794,-1.35285779580556,1,75
33,2,4,18,5,44,7,5,1,1,5,7,1,1,2,89,3,"3,5",2,"20",1,0,2.5535836306069,0.682124536203561,1,86
52,2,5,25,1,47,6,2,2,2,5,6,2,1,2,67,1,"3,5",2,"20",2,1,0.669265041503852,1.38876987973412,1,66
65,1,4,12,1,11,3,2,2,2,4,3,1,3,1,0,60,"3,5",1,"20",4,1,0.293242943130888,-0.335366629801002,0,-60
63,2,5,5,1,15,4,2,5,4,5,7,1,5,2,39,2,"3,5",2,"20",1,0,-1.39933466398826,-1.35285779580556,1,37
57,1,5,20,2,22,6,5,2,1,5,6,1,3,2,90,0,"4",2,"20",3,1,2.1632106977539,-0.335366629801002,1,90
56,1,5,12,5,10,4,1,4,4,2,3,1,5,1,1,80,"3,5",1,"20",3,1,-2.48542976051532,-1.35285779580556,0,-79
54,1,6,25,2,5,4,4,2,2,4,7,5,1,3,0,30,"3,5",1,"20",3,1,0.990046411653211,3.50870591032581,0,-30
61,2,4,17,1,34,6,4,2,2,3,6,1,3,2,50,1,"3,5",1,"20",4,1,0.614024313280246,-0.335366629801002,1,49
46,2,5,16,5,33,1,1,4,4,2,1,1,5,1,0,81,"6",1,"20",5,1,-2.48542976051532,-1.35285779580556,0,-81
62,2,5,19,2,34,2,1,4,4,1,2,1,5,1,18,92,"3,5",1,"20",1,0,-2.86145185888829,-1.35285779580556,0,-74
56,1,3,16,1,18,2,2,1,1,3,3,1,3,2,72,52,"3,5",2,"20",1,0,0.756334231077485,-0.335366629801002,1,20
48,2,5,18,5,23,4,5,1,1,5,4,1,2,2,85,0,"3,5",2,"20",2,1,2.5535836306069,0.17337895320128,1,85
62,2,4,24,2,10,5,5,2,1,5,4,1,5,4,15,1,"3,5",2,"20",5,1,2.1632106977539,-1.35285779580556,0,14
42,2,4,4,5,26,1,1,5,5,1,1,1,5,1,1,40,"3,5",1,"20",3,1,-3.70056524520785,-1.35285779580556,0,-39
24,2,4,14,6,26,3,2,4,4,2,2,1,5,4,0,38,"3,5",1,"20",5,1,-2.13702802625416,-1.35285779580556,0,-38
24,2,3,19,6,43,5,4,5,2,3,5,5,3,1,18,77,"3,5",2,"11,2,5",4,1,-0.557094485278739,2.49121474432125,0,-59
55,2,5,18,6,17,4,4,2,1,5,4,1,4,2,100,1,"3,5",2,"20",1,0,1.81480896349274,-0.844112212803283,1,99
58,2,3,12,6,10,4,5,1,1,5,4,5,1,3,1,3,"3,5",2,"20",1,0,2.5535836306069,3.50870591032581,0,-2
28,1,2,6,5,36,4,2,3,2,3,4,1,3,4,48,52,"3,5",1,"20",4,1,-0.473152088095071,-0.335366629801002,0,-4
38,1,5,25,5,21,4,2,3,4,2,1,1,3,3,NA,50,"3,5",1,"20",5,1,-1.74665509340117,-0.335366629801002,0,NA
35,2,5,12,2,39,4,5,1,1,4,4,1,5,4,14,23,"3,5",2,"20",3,1,2.17756153223393,-1.35285779580556,0,-9
57,2,4,3,5,40,4,3,2,2,3,3,1,3,4,0,62,"3,5",2,"20",5,1,0.265622579019085,-0.335366629801002,0,-62
58,2,5,15,1,15,6,4,2,2,4,7,1,5,2,85,1,"3,5",2,"20",4,1,0.990046411653211,-1.35285779580556,1,84
29,2,3,17,6,44,6,5,2,3,3,4,1,3,4,66,17,"3,5",2,"20",3,1,0.513685594074842,-0.335366629801002,0,49
37,1,3,18,6,1,4,3,3,3,3,4,3,3,2,99,1,"3,5",2,"20",2,1,-0.573490807300476,1.07792405726012,1,98
27,2,5,14,1,1,7,5,2,1,5,7,2,4,2,81,1,"3,5",2,"20",3,1,2.1632106977539,-0.137466869272721,1,80
